"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","5,034,852","100"
"2","youtube.com","18,247,209","100"
"3","www.google.com","12,303,494","100"
"4","play.google.com","2,926,626","99"
"5","support.google.com","4,595,583","99"
"6","linkedin.com","9,283,928","99"
"7","www.blogger.com","25,918,775","99"
"8","microsoft.com","4,538,624","99"
"9","en.wikipedia.org","5,382,365","98"
"10","adobe.com","2,742,680","98"
"11","cloudflare.com","5,242,140","98"
"12","wordpress.org","10,206,723","98"
"13","maps.google.com","4,366,622","98"
"14","youtu.be","3,898,976","98"
"15","docs.google.com","2,336,833","98"
"16","googleusercontent.com","2,200,265","97"
"17","vimeo.com","3,063,452","97"
"18","plus.google.com","11,672,491","97"
"19","sites.google.com","1,754,685","97"
"20","mozilla.org","1,890,231","97"
"21","accounts.google.com","2,529,446","97"
"22","europa.eu","1,651,722","97"
"23","drive.google.com","1,803,763","97"
"24","bbc.co.uk","1,390,567","96"
"25","medium.com","1,140,222","96"
"26","github.com","2,046,745","96"
"27","es.wikipedia.org","772,122","96"
"28","pt.wikipedia.org","354,244","96"
"29","facebook.com","47,059,767","96"
"30","bp.blogspot.com","16,168,052","96"
"31","amazon.com","4,000,293","96"
"32","uol.com.br","563,513","96"
"33","line.me","648,128","96"
"34","istockphoto.com","3,152,954","96"
"35","vk.com","1,635,318","96"
"36","brandbucket.com","11,041,861","95"
"37","creativecommons.org","1,576,261","95"
"38","google.com.br","270,663","95"
"39","theguardian.com","1,179,007","95"
"40","paypal.com","894,950","95"
"41","opera.com","728,981","95"
"42","dailymotion.com","1,055,951","95"
"43","dropbox.com","915,826","95"
"44","mail.ru","480,816","95"
"45","whatsapp.com","2,109,093","95"
"46","imdb.com","1,213,487","95"
"47","globo.com","377,035","95"
"48","policies.google.com","1,122,323","95"
"49","nih.gov","1,033,234","95"
"50","developers.google.com","879,101","95"
"51","abril.com.br","221,217","95"
"52","slideshare.net","869,771","95"
"53","wikimedia.org","1,366,625","95"
"54","msn.com","965,182","95"
"55","forbes.com","1,119,415","95"
"56","google.es","421,498","95"
"57","w3.org","1,039,419","95"
"58","gstatic.com","582,396","95"
"59","mail.google.com","437,523","95"
"60","mediafire.com","760,150","95"
"61","issuu.com","837,568","95"
"62","get.google.com","755,322","95"
"63","nytimes.com","1,661,902","95"
"64","jimdofree.com","1,692,517","95"
"65","hugedomains.com","4,874,602","95"
"66","google.co.jp","629,696","95"
"67","www.yahoo.com","978,385","95"
"68","myspace.com","1,245,550","95"
"69","google.de","1,060,485","95"
"70","reuters.com","712,984","95"
"71","fr.wikipedia.org","524,840","95"
"72","feedburner.com","1,701,061","95"
"73","bbc.com","650,892","95"
"74","news.google.com","695,031","95"
"75","cnn.com","1,196,503","95"
"76","t.me","624,907","95"
"77","live.com","726,939","95"
"78","scribd.com","646,143","94"
"79","cpanel.com","1,185,756","94"
"80","ft.com","344,908","94"
"81","usatoday.com","632,179","94"
"82","samsung.com","295,783","94"
"83","themeforest.net","500,423","94"
"84","translate.google.com","269,126","94"
"85","indiatimes.com","327,877","94"
"86","lefigaro.fr","184,136","94"
"87","amazon.co.jp","767,905","94"
"88","dailymail.co.uk","764,872","94"
"89","washingtonpost.com","855,931","94"
"90","id.wikipedia.org","412,573","94"
"91","webmd.com","542,428","94"
"92","dan.com","1,890,939","94"
"93","afternic.com","1,876,268","94"
"94","draft.blogger.com","10,140,833","94"
"95","youronlinechoices.com","493,776","94"
"96","www.weebly.com","1,105,783","94"
"97","files.wordpress.com","2,052,674","94"
"98","google.co.uk","538,324","94"
"99","thesun.co.uk","250,496","94"
"100","google.it","409,974","94"
"101","myaccount.google.com","257,884","94"
"102","fandom.com","429,181","94"
"103","independent.co.uk","507,109","94"
"104","namecheap.com","1,117,491","94"
"105","terra.com.br","183,675","94"
"106","ig.com.br","129,539","94"
"107","google.fr","386,616","94"
"108","plesk.com","701,837","94"
"109","huffingtonpost.com","853,450","94"
"110","books.google.com","338,528","94"
"111","mirror.co.uk","255,968","94"
"112","www.wikipedia.org","508,804","94"
"113","un.org","419,366","94"
"114","ipv4.google.com","352,275","94"
"115","marketingplatform.google.com","733,426","94"
"116","businessinsider.com","562,752","94"
"117","gravatar.com","1,716,850","94"
"118","news.yahoo.com","568,783","94"
"119","twitter.com","49,257,286","94"
"120","bit.ly","4,074,580","94"
"121","hatena.ne.jp","1,341,265","94"
"122","steampowered.com","215,769","94"
"123","it.wikipedia.org","277,070","94"
"124","latimes.com","574,954","94"
"125","4shared.com","506,045","94"
"126","who.int","1,939,690","94"
"127","search.google.com","1,052,163","94"
"128","pinterest.com","7,402,039","94"
"129","nasa.gov","542,604","94"
"130","office.com","348,174","94"
"131","aboutads.info","469,363","94"
"132","harvard.edu","574,391","94"
"133","telegraph.co.uk","755,898","94"
"134","amazon.co.uk","623,485","94"
"135","time.com","599,676","94"
"136","abcnews.go.com","463,511","94"
"137","foxnews.com","445,502","94"
"138","rakuten.co.jp","576,291","94"
"139","picasaweb.google.com","606,443","94"
"140","google.ru","186,152","94"
"141","tinyurl.com","1,244,590","94"
"142","change.org","396,481","94"
"143","cnet.com","548,012","94"
"144","wsj.com","787,652","94"
"145","aol.com","644,872","94"
"146","tools.google.com","1,431,814","94"
"147","ebay.com","863,382","94"
"148","buydomains.com","1,109,728","94"
"149","aliexpress.com","440,670","94"
"150","networkadvertising.org","684,898","94"
"151","photos.google.com","247,113","94"
"152","fb.com","363,263","94"
"153","cpanel.net","1,269,581","94"
"154","cdc.gov","642,029","94"
"155","goo.gl","4,161,259","94"
"156","telegram.me","273,116","94"
"157","wikia.com","451,717","94"
"158","archive.org","883,234","94"
"159","amazon.de","486,754","94"
"160","www.gov.uk","479,651","94"
"161","elpais.com","320,495","94"
"162","wired.com","523,888","94"
"163","booking.com","347,380","94"
"164","huffpost.com","631,893","94"
"165","ok.ru","334,940","94"
"166","google.pl","203,117","94"
"167","bloomberg.com","667,728","94"
"168","de.wikipedia.org","579,582","94"
"169","android.com","254,530","94"
"170","google.nl","230,754","93"
"171","wiley.com","430,305","93"
"172","wa.me","560,046","93"
"173","nbcnews.com","562,978","93"
"174","newsweek.com","241,456","93"
"175","nginx.com","492,782","93"
"176","google.ca","300,803","93"
"177","cbc.ca","342,114","93"
"178","spotify.com","1,133,944","93"
"179","corriere.it","139,122","93"
"180","columbia.edu","267,264","93"
"181","shopify.com","1,350,152","93"
"182","mit.edu","557,038","93"
"183","t.co","1,673,756","93"
"184","xbox.com","141,949","93"
"185","yadi.sk","174,763","93"
"186","enable-javascript.com","1,550,710","93"
"187","www.over-blog.com","777,460","93"
"188","sciencedirect.com","419,070","93"
"189","lemonde.fr","220,973","93"
"190","icann.org","465,727","93"
"191","pixabay.com","294,655","93"
"192","blackberry.com","130,950","93"
"193","ru.wikipedia.org","351,091","93"
"194","mysql.com","378,331","93"
"195","ziddu.com","166,589","93"
"196","sedo.com","2,703,582","93"
"197","imageshack.us","779,566","93"
"198","google.co.id","149,898","93"
"199","soundcloud.com","1,554,238","93"
"200","sciencemag.org","257,449","93"
"201","engadget.com","391,083","93"
"202","surveymonkey.com","379,843","93"
"203","pbs.org","414,567","93"
"204","kickstarter.com","396,650","93"
"205","naver.com","440,652","93"
"206","bitly.com","374,003","93"
"207","sciencedaily.com","282,577","93"
"208","academia.edu","282,952","93"
"209","sputniknews.com","133,666","93"
"210","doubleclick.net","642,349","93"
"211","ggpht.com","572,073","93"
"212","smh.com.au","257,095","93"
"213","npr.org","587,617","93"
"214","twitch.tv","304,019","93"
"215","espn.com","303,983","93"
"216","rambler.ru","228,644","93"
"217","stanford.edu","498,684","93"
"218","wikihow.com","342,814","93"
"219","theatlantic.com","416,033","93"
"220","eventbrite.com","522,616","93"
"221","mashable.com","337,122","93"
"222","quora.com","304,661","93"
"223","disney.com","207,756","93"
"224","elmundo.es","189,270","93"
"225","privacyshield.gov","391,235","93"
"226","digg.com","832,921","93"
"227","groups.yahoo.com","296,714","93"
"228","yandex.ru","944,100","93"
"229","goodreads.com","673,807","93"
"230","finance.yahoo.com","368,249","93"
"231","welt.de","155,299","93"
"232","skype.com","365,041","93"
"233","gizmodo.com","340,537","93"
"234","pl.wikipedia.org","125,718","93"
"235","rapidshare.com","278,131","93"
"236","asus.com","134,743","93"
"237","berkeley.edu","384,658","93"
"238","photobucket.com","1,577,063","93"
"239","weibo.com","1,456,736","93"
"240","chicagotribune.com","291,270","93"
"241","dw.com","218,767","93"
"242","lycos.com","664,813","93"
"243","deezer.com","126,571","93"
"244","alibaba.com","358,296","93"
"245","ikea.com","258,120","93"
"246","ea.com","151,600","93"
"247","express.co.uk","199,286","93"
"248","ja.wikipedia.org","320,910","93"
"249","spiegel.de","261,139","93"
"250","mega.nz","150,735","93"
"251","cambridge.org","219,462","93"
"252","allaboutcookies.org","330,058","93"
"253","usnews.com","316,537","93"
"254","nikkei.com","187,928","93"
"255","umich.edu","282,453","93"
"256","picasa.google.com","246,258","93"
"257","metro.co.uk","171,437","93"
"258","apache.org","872,029","93"
"259","theglobeandmail.com","213,683","93"
"260","akamaihd.net","409,626","93"
"261","netflix.com","240,264","93"
"262","storage.googleapis.com","549,377","93"
"263","nationalgeographic.com","521,777","93"
"264","cornell.edu","363,967","93"
"265","yahoo.co.jp","609,244","93"
"266","gofundme.com","267,270","93"
"267","whitehouse.gov","305,327","93"
"268","ytimg.com","266,719","93"
"269","abc.es","154,180","93"
"270","nypost.com","276,635","93"
"271","washington.edu","299,548","93"
"272","php.net","616,309","93"
"273","britannica.com","267,450","93"
"274","loc.gov","367,823","93"
"275","adssettings.google.com","284,035","93"
"276","psychologytoday.com","266,004","93"
"277","disqus.com","907,160","93"
"278","buzzfeed.com","438,552","93"
"279","ovh.co.uk","490,515","93"
"280","shutterstock.com","252,055","93"
"281","news.com.au","252,948","93"
"282","goo.ne.jp","294,001","93"
"283","detik.com","351,447","93"
"284","discord.gg","187,752","93"
"285","nydailynews.com","294,976","93"
"286","search.yahoo.com","418,514","93"
"287","repubblica.it","166,129","93"
"288","amazon.fr","218,131","93"
"289","yelp.com","823,143","93"
"290","target.com","222,659","93"
"291","instagram.com","21,810,859","93"
"292","rottentomatoes.com","192,294","93"
"293","researchgate.net","321,983","93"
"294","techcrunch.com","381,854","93"
"295","unesco.org","250,062","93"
"296","forms.gle","376,850","93"
"297","sfgate.com","311,203","93"
"298","princeton.edu","270,982","93"
"299","bloglovin.com","454,664","93"
"300","google.com.tw","139,618","93"
"301","list-manage.com","654,437","93"
"302","sapo.pt","203,450","93"
"303","cnil.fr","159,587","93"
"304","ted.com","472,531","93"
"305","www.wix.com","754,211","93"
"306","cbsnews.com","419,217","93"
"307","rt.com","226,015","93"
"308","trustpilot.com","343,888","93"
"309","biglobe.ne.jp","220,304","93"
"310","gmail.com","177,795","93"
"311","gnu.org","542,843","93"
"312","hollywoodreporter.com","209,709","93"
"313","nature.com","434,051","93"
"314","cnbc.com","388,332","93"
"315","mozilla.com","193,268","93"
"316","ria.ru","154,690","93"
"317","godaddy.com","2,405,082","93"
"318","guardian.co.uk","513,070","93"
"319","playstation.com","177,824","93"
"320","tripadvisor.com","445,911","93"
"321","oracle.com","513,204","93"
"322","bp0.blogger.com","521,214","93"
"323","abc.net.au","316,865","93"
"324","sendspace.com","149,802","93"
"325","ign.com","228,300","93"
"326","walmart.com","263,848","93"
"327","ovh.com","444,099","93"
"328","bing.com","884,445","93"
"329","groups.google.com","296,343","93"
"330","bandcamp.com","505,420","93"
"331","m.wikipedia.org","225,058","93"
"332","instructables.com","271,529","93"
"333","addtoany.com","722,128","93"
"334","depositfiles.com","138,312","93"
"335","urbandictionary.com","202,087","93"
"336","nginx.org","579,533","93"
"337","wp.com","917,513","93"
"338","netvibes.com","1,162,860","93"
"339","my.yahoo.com","1,145,103","93"
"340","stackoverflow.com","282,438","93"
"341","theverge.com","299,942","93"
"342","thetimes.co.uk","294,955","93"
"343","about.com","657,242","93"
"344","code.google.com","311,308","93"
"345","box.com","230,039","93"
"346","economist.com","296,785","93"
"347","noaa.gov","276,823","93"
"348","photos1.blogger.com","821,985","93"
"349","ovh.net","636,331","93"
"350","google.co.in","247,246","93"
"351","secureserver.net","1,034,626","93"
"352","ibm.com","431,055","93"
"353","variety.com","194,663","93"
"354","oup.com","302,524","93"
"355","googleblog.com","231,396","93"
"356","addthis.com","688,150","93"
"357","bp2.blogger.com","521,364","93"
"358","hp.com","383,676","93"
"359","amzn.to","717,860","93"
"360","zendesk.com","460,800","93"
"361","amazon.es","150,426","93"
"362","hm.com","150,349","93"
"363","ietf.org","331,203","93"
"364","stuff.co.nz","133,303","92"
"365","dribbble.com","405,244","92"
"366","sina.com.cn","1,054,039","92"
"367","wiktionary.org","238,448","92"
"368","iubenda.com","189,995","92"
"369","greenpeace.org","153,155","92"
"370","so-net.ne.jp","170,142","92"
"371","utexas.edu","225,896","92"
"372","narod.ru","267,978","92"
"373","state.gov","256,370","92"
"374","udemy.com","145,506","92"
"375","newyorker.com","312,846","92"
"376","symantec.com","148,163","92"
"377","excite.co.jp","483,776","92"
"378","pinterest.co.uk","167,625","92"
"379","ndtv.com","148,756","92"
"380","viagens.com.br","127,104","92"
"381","thedailybeast.com","199,151","92"
"382","behance.net","675,124","92"
"383","foursquare.com","235,007","92"
"384","example.com","242,398","92"
"385","ed.gov","228,230","92"
"386","sakura.ne.jp","366,435","92"
"387","axs.com","218,664","92"
"388","airbnb.com","163,582","92"
"389","xing.com","403,238","92"
"390","ebay.co.uk","198,182","92"
"391","house.gov","224,348","92"
"392","dell.com","203,085","92"
"393","fda.gov","273,864","92"
"394","google.com.au","192,617","92"
"395","zdnet.com","237,561","92"
"396","weforum.org","146,906","92"
"397","si.edu","226,075","92"
"398","reverbnation.com","184,984","92"
"399","interia.pl","149,514","92"
"400","businesswire.com","225,725","92"
"401","unsplash.com","329,150","92"
"402","a8.net","419,572","92"
"403","tabelog.com","137,937","92"
"404","answers.com","213,310","92"
"405","dreniq.com","322,206","92"
"406","amazon.it","125,294","92"
"407","scientificamerican.com","242,419","92"
"408","businessinsider.com.au","247,763","92"
"409","psu.edu","261,965","92"
"410","oecd.org","156,851","92"
"411","tmz.com","173,291","92"
"412","eonline.com","171,375","92"
"413","ucla.edu","223,276","92"
"414","thehill.com","167,535","92"
"415","answers.yahoo.com","185,532","92"
"416","www.livejournal.com","3,061,980","92"
"417","doi.org","321,014","92"
"418","orange.fr","171,078","92"
"419","khanacademy.org","144,329","92"
"420","salon.com","219,708","92"
"421","mixcloud.com","174,236","92"
"422","liveinternet.ru","285,126","92"
"423","cia.gov","131,894","92"
"424","offset.com","917,116","92"
"425","thestar.com","179,477","92"
"426","discovery.com","215,725","92"
"427","investopedia.com","201,798","92"
"428","slate.com","300,653","92"
"429","adweek.com","160,497","92"
"430","steamcommunity.com","177,073","92"
"431","about.me","277,749","92"
"432","nps.gov","286,745","92"
"433","asahi.com","158,801","92"
"434","huawei.com","667,515","92"
"435","zeit.de","124,604","92"
"436","consumerreports.org","143,808","92"
"437","imgur.com","1,115,739","92"
"438","wn.com","204,256","92"
"439","home.pl","197,454","92"
"440","outlook.com","196,881","92"
"441","coursera.org","133,903","92"
"442","uiuc.edu","184,320","92"
"443","statista.com","181,999","92"
"444","undeveloped.com","405,108","92"
"445","video.google.com","200,049","92"
"446","usgs.gov","190,817","92"
"447","gutenberg.org","153,430","92"
"448","marketwatch.com","276,860","92"
"449","bp1.blogger.com","521,072","92"
"450","amazon.ca","175,546","92"
"451","mystrikingly.com","272,651","92"
"452","standard.co.uk","141,467","92"
"453","feedproxy.google.com","754,873","92"
"454","politico.com","204,207","92"
"455","worldbank.org","198,415","92"
"456","digitaltrends.com","164,669","92"
"457","venturebeat.com","172,944","92"
"458","indiegogo.com","215,424","92"
"459","amazon.in","137,954","92"
"460","fifa.com","137,638","92"
"461","bund.de","459,805","92"
"462","xinhuanet.com","587,716","92"
"463","pewresearch.org","195,041","92"
"464","vkontakte.ru","366,636","92"
"465","cocolog-nifty.com","180,346","92"
"466","e-monsite.com","135,645","92"
"467","daum.net","154,077","92"
"468","megaupload.com","241,968","92"
"469","nba.com","174,584","92"
"470","dot.tk","8,111,350","92"
"471","entrepreneur.com","213,448","92"
"472","channel4.com","140,121","92"
"473","thefreedictionary.com","188,323","92"
"474","ameblo.jp","723,923","92"
"475","pastebin.com","165,860","92"
"476","nokia.com","153,316","92"
"477","scoop.it","331,119","92"
"478","ssl-images-amazon.com","163,039","92"
"479","dictionary.com","243,243","92"
"480","boston.com","272,590","92"
"481","e-recht24.de","429,273","92"
"482","arstechnica.com","205,864","92"
"483","techradar.com","125,377","92"
"484","etsy.com","1,516,887","92"
"485","000webhost.com","269,552","92"
"486","merriam-webster.com","229,583","92"
"487","www.canalblog.com","395,338","92"
"488","netlify.app","255,047","92"
"489","lifehacker.com","198,033","92"
"490","parallels.com","567,550","92"
"491","rediff.com","264,017","92"
"492","canva.com","131,725","92"
"493","ucoz.ru","182,325","92"
"494","hbr.org","209,990","92"
"495","inc.com","201,372","92"
"496","calameo.com","149,649","92"
"497","marriott.com","317,110","92"
"498","billboard.com","158,824","92"
"499","irs.gov","241,433","92"
"500","thoughtco.com","287,754","92"
